driver_id,vehicle_type,driver_rating,experience_years,city
D0301,Bike,4.2,2,Chennai
D0302,Bike,3.9,0,Bangalore
D0303,Scooter,3.9,1,Chennai
D0304,Car,3.9,0,Mumbai
D0305,Bike,4.7,10,Delhi
D0306,Bike,4.2,2,Delhi
D0307,Bike,4.4,8,Chennai
D0308,Bike,4.7,10,Hyderabad
D0309,Bike,3.4,4,Chennai
D0310,Scooter,4.6,0,Hyderabad
D0311,Bike,4.2,0,Kolkata
D0312,Scooter,4.4,3,Chennai
D0313,Car,3.9,2,Hyderabad
D0314,Car,3.9,4,Hyderabad
D0315,Car,4.4,3,Pune
D0316,Scooter,5.0,9,Kolkata
D0317,Car,4.6,3,Pune
D0318,Bike,4.6,5,Hyderabad
D0319,Bike,4.1,8,Hyderabad
D0320,Bike,4.0,1,Bangalore
D0321,Scooter,3.9,1,Hyderabad
D0322,Car,4.0,0,Pune
D0323,Bike,3.5,1,Hyderabad
D0324,Scooter,3.9,3,Delhi
D0325,Scooter,4.0,2,Bangalore
D0326,Car,4.1,3,Hyderabad
D0327,Scooter,4.2,10,Pune
D0328,Car,4.3,1,Pune
D0329,Bike,4.2,4,Mumbai
D0330,Bike,4.0,0,Pune
D0331,Bike,3.5,2,Bangalore
D0332,Bike,4.0,3,Pune
D0333,Bike,3.9,9,Delhi
D0334,Scooter,4.4,2,Chennai
D0335,Scooter,4.5,0,Delhi
D0336,Scooter,4.5,2,Kolkata
D0337,Bike,4.5,1,Delhi
D0338,Bike,4.2,1,Bangalore
D0339,Bike,4.0,4,Bangalore
D0340,Bike,3.9,0,Mumbai
D0341,Scooter,3.7,3,Pune
D0342,Bike,4.5,4,Mumbai
D0343,Bike,4.1,3,Bangalore
D0344,Scooter,3.8,0,Pune
D0345,Bike,3.9,10,Bangalore
D0346,Car,3.9,2,Bangalore
D0347,Bike,4.2,6,Chennai
D0348,Car,4.6,2,Delhi
D0349,Bike,4.1,3,Mumbai
D0350,Scooter,3.4,2,Mumbai
D0351,Bike,4.1,2,Hyderabad
D0352,Scooter,4.1,0,Kolkata
D0353,Bike,4.1,2,Chennai
D0354,Bike,4.0,7,Bangalore
D0355,Car,4.3,5,Bangalore
D0356,Bike,4.2,1,Chennai
D0357,Bike,4.2,4,Pune
D0358,Bike,4.3,8,Mumbai
D0359,Scooter,4.0,5,Bangalore
D0360,Bike,4.0,1,Kolkata
D0361,Bike,4.7,7,Hyderabad
D0362,Bike,4.4,2,Mumbai
D0363,Scooter,4.5,3,Delhi
D0364,Scooter,4.6,3,Kolkata
D0365,Bike,4.4,7,Chennai
D0366,Bike,4.5,9,Mumbai
D0367,Bike,3.6,8,Delhi
D0368,Bike,4.3,0,Hyderabad
D0369,Bike,4.1,8,Pune
D0370,Bike,4.8,0,Chennai
D0371,Bike,4.5,1,Pune
D0372,Car,4.0,3,Kolkata
D0373,Bike,4.3,3,Bangalore
D0374,Scooter,4.3,4,Pune
D0375,Bike,4.4,3,Bangalore
D0376,Bike,3.8,9,Kolkata
D0377,Car,4.3,1,Delhi
D0378,Bike,4.1,2,Mumbai
D0379,Bike,4.3,8,Hyderabad
D0380,Scooter,3.9,0,Delhi
D0381,Bike,4.0,4,Hyderabad
D0382,Bike,4.6,5,Pune
D0383,Bike,3.8,3,Hyderabad
D0384,Bike,3.9,5,Pune
D0385,Scooter,4.2,1,Hyderabad
D0386,Bike,3.9,7,Chennai
D0387,Bike,3.9,1,Delhi
D0388,Bike,4.2,2,Chennai
D0389,Bike,3.7,0,Mumbai
D0390,Car,3.8,4,Mumbai
D0391,Bike,4.9,5,Bangalore
D0392,Car,4.4,9,Bangalore
D0393,Scooter,3.9,5,Bangalore
D0394,Scooter,4.3,4,Kolkata
D0395,Bike,4.4,9,Mumbai
D0396,Bike,4.5,3,Hyderabad
D0397,Car,4.2,4,Pune
D0398,Car,4.5,4,Kolkata
D0399,Bike,3.5,2,Hyderabad
D0400,Bike,3.8,7,Delhi
D0401,Bike,4.3,1,Mumbai
D0402,Car,4.3,4,Pune
D0403,Bike,3.9,5,Pune
D0404,Scooter,4.3,8,Pune
D0405,Scooter,4.0,7,Bangalore
D0406,Scooter,4.1,3,Pune
D0407,Scooter,4.6,4,Pune
D0408,Bike,4.5,2,Mumbai
D0409,Car,3.9,3,Hyderabad
D0410,Scooter,3.8,8,Kolkata
D0411,Scooter,4.1,9,Kolkata
D0412,Bike,4.2,8,Hyderabad
D0413,Scooter,4.0,1,Chennai
D0414,Bike,4.6,7,Chennai
D0415,Bike,4.3,9,Delhi
D0416,Scooter,4.3,2,Mumbai
D0417,Bike,3.8,3,Chennai
D0418,Scooter,4.6,6,Chennai
D0419,Bike,3.2,4,Mumbai
D0420,Scooter,4.5,10,Hyderabad
D0421,Bike,4.5,3,Delhi
D0422,Scooter,4.0,5,Delhi
D0423,Bike,4.6,6,Delhi
D0424,Scooter,4.2,3,Chennai
D0425,Scooter,4.2,7,Hyderabad
D0426,Bike,4.3,4,Delhi
D0427,Bike,5.0,3,Mumbai
D0428,Scooter,4.7,0,Delhi
D0429,Scooter,4.4,2,Kolkata
D0430,Scooter,3.9,5,Bangalore
D0431,Scooter,4.3,8,Hyderabad
D0432,Bike,3.9,1,Bangalore
D0433,Bike,4.5,2,Hyderabad
D0434,Bike,4.2,1,Pune
D0435,Bike,3.8,5,Mumbai
D0436,Scooter,4.2,9,Pune
D0437,Bike,3.9,4,Chennai
D0438,Car,4.3,4,Chennai
D0439,Scooter,3.9,4,Pune
D0440,Car,4.2,0,Hyderabad
D0441,Car,4.5,5,Delhi
D0442,Bike,4.2,4,Bangalore
D0443,Scooter,4.1,5,Mumbai
D0444,Bike,4.3,8,Delhi
D0445,Bike,4.4,6,Chennai
D0446,Scooter,3.8,6,Delhi
D0447,Bike,4.3,8,Pune
D0448,Car,4.7,10,Pune
D0449,Scooter,4.4,4,Kolkata
D0450,Scooter,4.2,0,Kolkata
D0451,Bike,4.4,3,Bangalore
D0452,Scooter,4.4,6,Chennai
D0453,Bike,4.5,0,Hyderabad
D0454,Scooter,3.5,0,Mumbai
D0455,Bike,3.7,0,Pune
D0456,Scooter,4.6,5,Mumbai
D0457,Bike,3.7,3,Chennai
D0458,Bike,4.3,2,Hyderabad
D0459,Bike,4.1,0,Kolkata
D0460,Bike,3.9,5,Pune
D0461,Scooter,4.3,2,Bangalore
D0462,Bike,4.3,1,Mumbai
D0463,Bike,4.9,5,Chennai
D0464,Scooter,4.0,4,Mumbai
D0465,Bike,4.7,2,Kolkata
D0466,Bike,4.3,4,Kolkata
D0467,Scooter,4.0,2,Hyderabad
D0468,Bike,4.5,6,Bangalore
D0469,Bike,4.4,1,Kolkata
D0470,Bike,4.2,1,Hyderabad
D0471,Bike,4.3,6,Kolkata
D0472,Bike,4.0,5,Pune
D0473,Bike,3.9,1,Delhi
D0474,Scooter,4.5,0,Hyderabad
D0475,Bike,4.1,7,Hyderabad
D0476,Bike,4.2,6,Mumbai
D0477,Bike,4.3,2,Kolkata
D0478,Scooter,4.3,5,Hyderabad
D0479,Car,3.7,1,Chennai
D0480,Bike,4.7,3,Pune
D0481,Car,4.2,0,Mumbai
D0482,Bike,4.1,2,Mumbai
D0483,Bike,4.4,0,Delhi
D0484,Bike,4.3,3,Pune
D0485,Bike,4.5,3,Chennai
D0486,Bike,4.4,3,Pune
D0487,Bike,4.5,0,Hyderabad
D0488,Bike,4.7,2,Delhi
D0489,Bike,4.5,6,Chennai
D0490,Bike,4.1,2,Delhi
D0491,Bike,3.8,5,Pune
D0492,Car,4.8,2,Bangalore
D0493,Bike,4.1,3,Pune
D0494,Scooter,4.0,4,Hyderabad
D0495,Scooter,3.6,9,Delhi
D0496,Bike,4.3,0,Bangalore
D0497,Bike,4.3,0,Hyderabad
D0498,Bike,3.7,4,Delhi
D0499,Scooter,4.4,9,Delhi
D0500,Bike,4.0,10,Pune
