delivery_id,order_id,delivery_distance_km,preparation_time_min,delivery_time_min,tip_amount,delivery_status
DLY000040,O011077,2.48,16,49.1,59.89,Delivered
DLY000041,O041515,5.11,11,0.0,0.0,Failed
DLY000042,O022063,1.02,38,63.6,124.25,Delivered
DLY000043,O009414,12.07,14,82.1,30.46,Delivered
DLY000044,O038341,6.89,28,74.9,79.96,Delivered
DLY000045,O030264,1.74,41,62.1,32.86,Delivered
DLY000046,O041253,1.94,16,44.8,25.28,Delivered
DLY000047,O014645,7.8,31,83.5,7.56,Delivered
DLY000048,O026336,16.11,25,100.6,80.12,Delivered
DLY000049,O028103,1.06,15,31.2,15.85,Delivered
DLY000050,O017524,9.41,20,70.0,116.34,Delivered
DLY000051,O024713,3.48,30,51.5,40.14,Delivered
DLY000052,O040486,1.08,27,49.4,10.7,Delivered
DLY000053,O003851,11.68,40,104.9,10.24,Delivered
DLY000054,O040041,8.46,22,83.9,137.52,Delivered
DLY000055,O015268,7.47,28,80.6,27.36,Delivered
DLY000056,O049147,8.77,13,64.1,70.09,Delivered
DLY000057,O030002,3.54,19,43.0,82.9,Delivered
DLY000058,O045927,3.07,21,38.4,191.81,Delivered
DLY000059,O043825,7.01,29,69.4,19.99,Delivered
DLY000060,O017241,0.56,27,0.0,0.0,Failed
DLY000061,O004893,3.86,22,48.2,62.67,Delivered
DLY000062,O000726,6.73,42,89.4,39.67,Delivered
DLY000063,O022950,1.94,26,0.0,0.0,Failed
DLY000064,O034658,3.9,28,41.6,29.88,Delivered
DLY000065,O037214,20.0,14,110.3,95.11,Delivered
DLY000066,O020305,14.31,16,69.9,33.83,Delivered
DLY000067,O015270,5.28,12,41.0,49.08,Delivered
DLY000068,O022368,3.94,26,67.8,49.28,Delivered
DLY000069,O042685,3.13,27,69.5,20.82,Delivered
DLY000070,O046735,3.21,19,0.0,0.0,Failed
DLY000071,O011733,1.44,21,38.8,8.15,Delivered
DLY000072,O018620,3.26,19,39.0,54.04,Delivered
DLY000073,O048493,2.4,43,81.5,106.93,Delivered
DLY000074,O026804,3.4,35,58.7,97.6,Delivered
DLY000075,O044306,4.27,29,59.9,70.01,Delivered
DLY000076,O047523,19.22,8,78.4,50.12,Delivered
DLY000077,O032208,8.53,22,74.5,47.6,Delivered
DLY000078,O002531,1.32,22,51.0,132.96,Delivered
DLY000079,O017747,3.53,23,52.4,93.16,Delivered
DLY000080,O008271,8.89,40,77.1,46.05,Delivered
DLY000081,O015080,2.88,17,46.2,25.76,Delivered
DLY000082,O013625,6.13,24,0.0,0.0,Failed
DLY000083,O030639,4.82,22,0.0,0.0,Failed
DLY000084,O030441,8.62,15,70.0,119.47,Delivered
DLY000085,O036057,7.36,8,81.2,27.57,Delivered
DLY000086,O042652,1.57,19,31.7,41.99,Delivered
DLY000087,O036804,3.59,23,50.3,32.05,Delivered
DLY000088,O048225,5.61,17,41.0,15.37,Delivered
DLY000089,O029227,4.24,41,78.4,26.62,Delivered
DLY000090,O005634,1.23,25,44.5,21.12,Delivered
DLY000091,O005988,2.94,8,42.5,121.64,Delivered
DLY000092,O048064,3.75,27,52.7,28.73,Delivered
DLY000093,O001813,4.35,26,43.1,15.33,Delivered
DLY000094,O027579,3.41,14,43.3,58.59,Delivered
DLY000095,O016824,4.62,18,35.6,38.07,Delivered
DLY000096,O003929,7.02,22,86.5,63.67,Delivered
DLY000097,O037287,4.56,30,38.7,201.89,Delivered
DLY000098,O025046,4.83,39,61.5,31.83,Delivered
DLY000099,O015728,3.15,16,50.0,17.66,Delivered
DLY000100,O029601,4.0,48,75.6,46.71,Delivered
DLY000101,O010431,4.81,23,65.0,12.79,Delivered
DLY000102,O025769,3.71,24,60.7,40.24,Delivered
DLY000103,O029104,1.51,15,32.3,97.5,Delivered
DLY000104,O036538,4.46,19,50.7,47.54,Delivered
DLY000105,O039329,3.16,6,33.2,27.19,Delivered
DLY000106,O035540,4.76,9,23.6,23.09,Delivered
DLY000107,O028076,4.25,23,0.0,0.0,Failed
DLY000108,O017841,0.5,17,35.6,15.18,Delivered
DLY000109,O027803,7.67,32,87.8,140.82,Delivered
DLY000110,O007683,5.24,40,67.7,47.95,Delivered
DLY000111,O024280,1.34,17,0.0,0.0,Failed
DLY000112,O033071,1.47,18,37.6,31.06,Delivered
DLY000113,O035558,2.44,26,66.4,23.96,Delivered
DLY000114,O037190,0.74,20,36.6,14.5,Delivered
DLY000115,O047150,6.91,20,73.3,12.35,Delivered
DLY000116,O046916,1.71,17,43.3,38.71,Delivered
DLY000117,O009802,5.72,32,61.1,42.81,Delivered
DLY000118,O038801,0.73,23,47.5,7.82,Delivered
DLY000119,O024670,2.29,24,56.6,64.03,Delivered
DLY000120,O044234,4.94,26,0.0,0.0,Failed
DLY000121,O031920,3.35,33,74.0,74.54,Delivered
DLY000122,O007135,2.03,24,27.7,26.7,Delivered
DLY000123,O033705,7.47,15,54.7,117.04,Delivered
DLY000124,O029661,1.92,19,22.1,124.14,Delivered
DLY000125,O017894,6.03,12,70.3,89.01,Delivered
DLY000126,O022019,0.5,36,62.9,31.1,Delivered
DLY000127,O013539,1.43,20,43.5,35.78,Delivered
DLY000128,O043119,2.31,25,48.7,68.91,Delivered
DLY000129,O036421,6.51,45,75.4,52.88,Delivered
DLY000130,O009406,2.84,38,64.9,39.22,Delivered
DLY000131,O013414,10.79,10,67.2,47.75,Delivered
DLY000132,O006721,1.2,19,43.3,5.96,Delivered
DLY000133,O015602,5.33,28,69.0,58.48,Delivered
DLY000134,O044744,2.16,34,60.2,58.14,Delivered
DLY000135,O031139,5.52,38,73.5,25.3,Delivered
DLY000136,O002730,5.94,37,66.1,10.2,Delivered
DLY000137,O038243,8.04,17,58.0,14.97,Delivered
DLY000138,O029626,6.77,17,66.5,33.3,Delivered
DLY000139,O047895,7.4,47,77.3,14.62,Delivered
DLY000140,O042091,4.69,30,63.0,71.94,Delivered
DLY000141,O036400,6.23,39,69.1,24.35,Delivered
DLY000142,O006245,4.62,26,64.2,70.45,Delivered
DLY000143,O005546,7.99,10,66.4,116.22,Delivered
DLY000144,O004065,0.71,25,56.0,115.68,Delivered
DLY000145,O012852,3.58,28,65.4,43.66,Delivered
DLY000146,O021803,7.53,34,75.5,103.82,Delivered
DLY000147,O041164,9.15,27,80.8,33.03,Delivered
DLY000148,O006233,8.64,22,0.0,0.0,Failed
DLY000149,O003863,5.18,18,49.5,12.51,Delivered
DLY000150,O035095,7.69,21,81.8,18.49,Delivered
DLY000151,O040196,5.31,15,54.5,19.29,Delivered
DLY000152,O039251,3.21,27,56.1,38.73,Delivered
DLY000153,O006218,7.63,18,0.0,0.0,Failed
DLY000154,O036776,4.53,39,79.1,77.81,Delivered
DLY000155,O042977,3.64,16,0.0,0.0,Failed
DLY000156,O048468,1.15,12,49.8,18.84,Delivered
DLY000157,O014832,1.24,33,54.9,95.84,Delivered
DLY000158,O030093,3.88,18,52.8,69.96,Delivered
DLY000159,O008894,4.13,28,50.1,44.97,Delivered
DLY000160,O006021,2.26,23,0.0,0.0,Failed
DLY000161,O046089,6.49,20,0.0,0.0,Failed
DLY000162,O015243,5.42,30,74.1,29.33,Delivered
DLY000163,O045308,4.1,23,42.3,41.52,Delivered
DLY000164,O026551,8.81,23,81.0,22.42,Delivered
DLY000165,O006035,2.78,21,55.5,59.71,Delivered
DLY000166,O007906,4.34,35,66.3,170.53,Delivered
DLY000167,O032226,1.07,26,57.7,71.37,Delivered
DLY000168,O006018,3.41,15,39.3,76.81,Delivered
DLY000169,O021880,6.22,15,45.1,39.1,Delivered
DLY000170,O002792,7.05,13,66.2,84.84,Delivered
DLY000171,O042606,6.44,36,71.8,92.02,Delivered
DLY000172,O005824,1.1,23,0.0,0.0,Failed
DLY000173,O015388,4.25,25,62.0,36.77,Delivered
DLY000174,O029562,5.39,45,71.6,72.81,Delivered
DLY000175,O039476,2.93,10,33.9,39.28,Delivered
DLY000176,O000293,0.98,26,0.0,0.0,Failed
DLY000177,O016958,1.25,36,58.9,68.11,Delivered
DLY000178,O030861,3.73,37,71.9,83.57,Delivered
DLY000179,O014074,3.42,20,65.5,48.4,Delivered
DLY000180,O021857,4.02,14,52.2,38.01,Delivered
DLY000181,O022080,4.74,18,60.2,41.61,Delivered
DLY000182,O017024,0.8,25,0.0,0.0,Failed
DLY000183,O008740,5.34,24,50.7,24.66,Delivered
DLY000184,O015826,2.86,12,20.0,35.8,Delivered
DLY000185,O002742,10.35,25,69.9,29.17,Delivered
DLY000186,O018049,6.77,17,69.8,123.63,Delivered
DLY000187,O049937,4.44,21,35.5,25.64,Delivered
DLY000188,O017373,3.02,16,60.7,51.33,Delivered
DLY000189,O022022,7.22,34,69.5,72.75,Delivered
DLY000190,O046365,0.74,18,37.3,71.44,Delivered
DLY000191,O023538,2.14,17,28.1,103.88,Delivered
DLY000192,O045500,1.2,29,54.0,120.11,Delivered
DLY000193,O040186,3.14,9,28.8,50.38,Delivered
DLY000194,O009614,3.83,14,50.7,80.09,Delivered
DLY000195,O043282,17.9,25,100.9,73.78,Delivered
DLY000196,O037892,4.29,21,76.4,18.75,Delivered
DLY000197,O026179,4.78,22,64.0,43.95,Delivered
DLY000198,O045893,4.12,40,53.6,27.11,Delivered
DLY000199,O020934,9.17,33,82.3,30.95,Delivered
DLY000200,O040972,1.82,37,60.3,36.09,Delivered
DLY000201,O022225,5.41,13,52.9,54.46,Delivered
DLY000202,O024382,1.31,27,61.3,20.78,Delivered
DLY000203,O034856,3.31,23,42.5,86.92,Delivered
DLY000204,O048578,2.75,30,0.0,0.0,Failed
DLY000205,O038537,7.44,16,42.7,61.22,Delivered
DLY000206,O031756,3.01,27,50.0,14.74,Delivered
DLY000207,O007754,2.09,13,48.2,25.68,Delivered
DLY000208,O046639,5.72,24,80.3,25.38,Delivered
DLY000209,O043835,2.36,12,31.7,23.89,Delivered
DLY000210,O026236,4.26,35,82.5,107.37,Delivered
DLY000211,O044230,5.97,27,88.7,16.75,Delivered
DLY000212,O049597,9.9,17,54.3,20.7,Delivered
DLY000213,O018553,6.26,5,45.2,183.36,Delivered
DLY000214,O043137,2.25,51,86.5,100.17,Delivered
DLY000215,O036673,3.53,15,35.9,177.8,Delivered
DLY000216,O043650,4.29,29,60.1,28.01,Delivered
DLY000217,O003941,4.33,14,0.0,0.0,Failed
DLY000218,O031497,0.78,17,40.0,97.56,Delivered
DLY000219,O026594,5.12,15,0.0,0.0,Failed
DLY000220,O023922,5.95,37,61.5,19.12,Delivered
DLY000221,O026403,0.89,18,27.1,58.04,Delivered
DLY000222,O045943,1.72,18,53.7,53.26,Delivered
DLY000223,O048526,1.05,28,58.4,70.52,Delivered
DLY000224,O018316,4.21,23,53.3,41.34,Delivered
DLY000225,O036894,1.85,19,52.4,45.26,Delivered
DLY000226,O026696,3.13,20,45.6,26.67,Delivered
DLY000227,O042128,7.18,28,83.2,44.21,Delivered
DLY000228,O014171,1.47,14,31.0,20.59,Delivered
DLY000229,O003733,4.88,19,59.7,17.97,Delivered
DLY000230,O007882,1.7,33,57.5,43.83,Delivered
DLY000231,O006017,1.04,23,62.3,20.77,Delivered
DLY000232,O023030,2.32,29,54.2,112.24,Delivered
DLY000233,O035474,3.5,21,62.4,55.83,Delivered
DLY000234,O049686,18.03,14,84.4,126.1,Delivered
DLY000235,O004818,4.29,12,58.0,13.09,Delivered
DLY000236,O041694,0.99,8,40.1,52.25,Delivered
DLY000237,O012008,2.22,30,63.9,15.82,Delivered
DLY000238,O041328,2.8,27,64.0,25.29,Delivered
DLY000239,O009507,1.92,37,64.2,17.26,Delivered
DLY000240,O044799,2.5,34,71.5,101.54,Delivered
DLY000241,O034063,0.5,27,34.5,38.33,Delivered
DLY000242,O027475,10.35,30,88.0,14.46,Delivered
DLY000243,O031144,8.73,12,73.4,6.82,Delivered
DLY000244,O021236,5.04,17,32.9,78.15,Delivered
DLY000245,O001391,2.53,37,62.3,43.29,Delivered
DLY000246,O038250,1.27,10,39.5,101.1,Delivered
DLY000247,O037625,3.52,17,35.1,145.91,Delivered
DLY000248,O042029,5.0,11,69.9,75.67,Delivered
DLY000249,O020835,1.58,28,52.7,64.17,Delivered
DLY000250,O014758,1.95,22,56.2,43.33,Delivered
DLY000251,O026397,0.73,33,55.5,89.53,Delivered
DLY000252,O006809,5.8,25,56.3,68.19,Delivered
DLY000253,O009226,10.51,30,88.3,16.43,Delivered
DLY000254,O048395,2.16,33,53.6,6.59,Delivered
DLY000255,O005396,1.44,17,25.4,19.43,Delivered
DLY000256,O006944,9.24,26,58.1,16.83,Delivered
DLY000257,O023871,4.49,22,51.8,28.54,Delivered
DLY000258,O032493,3.44,18,49.4,23.44,Delivered
DLY000259,O036346,1.23,39,53.3,33.16,Delivered
DLY000260,O010756,5.11,27,52.3,128.11,Delivered
DLY000261,O012302,1.05,11,28.6,14.78,Delivered
DLY000262,O048387,3.84,25,53.0,31.54,Delivered
DLY000263,O042746,5.14,25,50.4,17.17,Delivered
DLY000264,O029090,3.79,31,57.2,121.48,Delivered
DLY000265,O044713,1.08,28,26.0,96.84,Delivered
DLY000266,O014344,1.59,27,48.6,16.03,Delivered
DLY000267,O038173,2.88,32,42.6,15.71,Delivered
DLY000268,O005072,1.29,19,24.4,27.79,Delivered
DLY000269,O024122,1.64,38,53.0,16.14,Delivered
DLY000270,O048810,1.73,15,37.1,11.21,Delivered
DLY000271,O017821,7.16,19,67.0,208.19,Delivered
DLY000272,O001123,2.48,20,49.3,29.16,Delivered
DLY000273,O011265,5.19,34,63.5,22.02,Delivered
DLY000274,O030580,3.95,23,46.5,10.69,Delivered
DLY000275,O045465,7.54,18,70.7,29.67,Delivered
DLY000276,O048217,4.75,27,45.7,8.34,Delivered
DLY000277,O043045,8.27,16,69.8,37.6,Delivered
DLY000278,O015657,3.36,21,59.1,40.99,Delivered
DLY000279,O001901,2.49,15,40.8,20.15,Delivered
DLY000280,O000148,1.43,20,48.6,86.26,Delivered
DLY000281,O029643,6.82,27,69.6,50.53,Delivered
DLY000282,O003212,4.53,26,60.1,9.53,Delivered
DLY000283,O043851,6.22,15,52.7,93.36,Delivered
DLY000284,O002355,6.19,25,0.0,0.0,Failed
DLY000285,O031521,1.76,16,36.1,27.15,Delivered
DLY000286,O042584,11.76,15,90.0,26.09,Delivered
DLY000287,O043338,6.61,9,41.0,76.72,Delivered
DLY000288,O045285,1.14,25,59.8,56.47,Delivered
DLY000289,O046957,1.18,28,35.2,20.32,Delivered
DLY000290,O048791,4.86,22,46.1,26.84,Delivered
DLY000291,O036586,3.0,18,33.8,72.84,Delivered
DLY000292,O010466,1.59,7,37.9,29.73,Delivered
DLY000293,O007822,1.23,14,39.4,110.99,Delivered
DLY000294,O007206,10.13,14,81.6,30.6,Delivered
DLY000295,O006414,4.79,25,61.1,24.35,Delivered
DLY000296,O034047,6.19,9,51.3,19.85,Delivered
DLY000297,O012729,1.29,21,37.7,80.98,Delivered
DLY000298,O006926,6.06,29,70.7,82.58,Delivered
DLY000299,O027996,0.5,13,23.7,47.56,Delivered
DLY000300,O037613,6.88,17,78.7,77.85,Delivered
DLY000301,O039484,1.5,22,52.0,76.32,Delivered
DLY000302,O003017,14.75,45,112.4,15.82,Delivered
DLY000303,O001641,0.58,22,36.7,122.45,Delivered
DLY000304,O008884,2.6,22,65.5,22.65,Delivered
DLY000305,O037602,4.15,15,60.4,4.35,Delivered
DLY000306,O012970,6.37,25,56.8,26.85,Delivered
DLY000307,O023464,1.42,33,0.0,0.0,Failed
DLY000308,O015758,8.23,10,48.8,12.62,Delivered
DLY000309,O044077,6.04,21,59.1,47.75,Delivered
DLY000310,O004087,1.49,35,55.4,56.96,Delivered
DLY000311,O000509,2.29,47,86.1,15.43,Delivered
DLY000312,O006355,1.69,14,46.9,44.5,Delivered
DLY000313,O029645,0.94,18,38.9,51.07,Delivered
DLY000314,O020816,4.6,32,48.3,31.42,Delivered
DLY000315,O006235,2.98,24,37.8,15.42,Delivered
DLY000316,O031990,3.73,41,70.1,96.94,Delivered
DLY000317,O012996,0.52,30,59.1,15.84,Delivered
DLY000318,O042502,3.11,33,73.3,25.39,Delivered
DLY000319,O038921,5.23,36,54.9,91.75,Delivered
DLY000320,O000263,5.61,9,35.4,152.3,Delivered
DLY000321,O007892,2.64,22,32.2,24.31,Delivered
DLY000322,O010528,13.38,23,93.3,109.14,Delivered
DLY000323,O018601,7.99,29,74.4,49.65,Delivered
DLY000324,O024115,2.61,27,0.0,0.0,Failed
DLY000325,O033499,3.73,31,73.9,20.55,Delivered
DLY000326,O013472,1.32,22,46.4,9.61,Delivered
DLY000327,O031726,6.06,31,54.8,35.07,Delivered
DLY000328,O023691,6.66,24,62.4,22.95,Delivered
DLY000329,O010558,1.42,14,37.2,36.59,Delivered
DLY000330,O006557,4.83,19,0.0,0.0,Failed
DLY000331,O045578,2.94,20,51.1,9.04,Delivered
DLY000332,O041504,1.1,19,40.3,28.31,Delivered
DLY000333,O027873,6.81,15,64.0,196.28,Delivered
DLY000334,O010811,7.46,50,109.8,27.08,Delivered
DLY000335,O038215,3.79,23,60.5,37.02,Delivered
DLY000336,O011731,1.25,13,47.2,31.8,Delivered
DLY000337,O027439,3.27,20,47.5,44.63,Delivered
DLY000338,O021780,5.88,18,56.2,47.32,Delivered
DLY000339,O034080,8.64,24,66.1,29.27,Delivered
DLY000340,O022916,4.82,19,56.2,38.06,Delivered
DLY000341,O008086,3.76,49,0.0,0.0,Failed
DLY000342,O043468,7.64,26,70.0,8.65,Delivered
DLY000343,O014710,0.51,7,15.1,20.73,Delivered
DLY000344,O015467,6.92,32,64.2,9.06,Delivered
DLY000345,O037173,5.4,41,70.1,22.8,Delivered
DLY000346,O028749,4.08,37,47.5,48.16,Delivered
DLY000347,O003105,0.5,28,56.1,17.09,Delivered
DLY000348,O000709,0.53,40,46.9,45.2,Delivered
DLY000349,O038386,2.15,15,29.3,39.84,Delivered
DLY000350,O023445,5.15,46,78.4,57.13,Delivered
DLY000351,O026511,16.16,19,90.0,30.89,Delivered
DLY000352,O008467,4.8,19,43.8,35.16,Delivered
DLY000353,O006231,7.57,23,66.3,27.11,Delivered
DLY000354,O046359,7.43,8,64.9,24.93,Delivered
DLY000355,O039358,3.64,24,57.3,39.8,Delivered
DLY000356,O016387,2.83,12,27.2,43.46,Delivered
DLY000357,O034166,1.33,19,54.7,5.59,Delivered
DLY000358,O004169,4.59,9,28.1,52.45,Delivered
DLY000359,O005804,2.28,43,58.5,15.37,Delivered
DLY000360,O012754,9.25,16,53.2,14.79,Delivered
DLY000361,O002190,0.86,21,31.0,124.39,Delivered
DLY000362,O012188,5.45,18,49.7,22.36,Delivered
DLY000363,O031728,5.02,16,62.4,80.76,Delivered
DLY000364,O019246,3.81,21,29.2,49.03,Delivered
DLY000365,O037867,5.18,14,53.3,23.36,Delivered
DLY000366,O043515,3.51,19,39.2,34.1,Delivered
DLY000367,O008719,7.37,19,52.0,9.98,Delivered
DLY000368,O028825,6.41,20,71.2,40.96,Delivered
DLY000369,O024469,4.03,16,69.8,20.76,Delivered
DLY000370,O048253,3.83,14,53.8,20.61,Delivered
DLY000371,O007202,7.88,14,67.8,10.48,Delivered
DLY000372,O009283,9.14,25,70.8,7.71,Delivered
DLY000373,O026821,3.31,13,59.2,85.63,Delivered
DLY000374,O027374,4.7,15,50.2,25.76,Delivered
DLY000375,O022493,2.24,20,36.1,73.9,Delivered
DLY000376,O045638,7.59,14,55.6,45.06,Delivered
DLY000377,O045880,4.01,33,69.8,68.05,Delivered
DLY000378,O029340,3.58,30,63.7,152.79,Delivered
DLY000379,O046548,4.18,52,80.3,34.36,Delivered
DLY000380,O010804,12.22,27,81.9,48.27,Delivered
DLY000381,O020965,2.71,27,68.9,38.09,Delivered
DLY000382,O030033,4.95,22,64.3,46.72,Delivered
DLY000383,O005223,10.36,35,81.0,57.91,Delivered
DLY000384,O000660,5.66,10,67.0,20.37,Delivered
DLY000385,O033246,16.2,22,100.4,68.34,Delivered
DLY000386,O005866,1.8,17,29.8,4.62,Delivered
DLY000387,O048872,3.92,13,28.3,94.19,Delivered
DLY000388,O022986,1.45,7,20.1,28.79,Delivered
DLY000389,O028881,7.84,28,0.0,0.0,Failed
DLY000390,O047088,4.12,21,54.7,72.37,Delivered
DLY000391,O026528,3.84,17,46.8,51.29,Delivered
DLY000392,O009648,1.05,29,59.5,50.44,Delivered
DLY000393,O049546,6.35,12,64.9,68.96,Delivered
DLY000394,O032375,1.47,38,65.4,62.25,Delivered
DLY000395,O026159,4.5,28,55.0,33.06,Delivered
DLY000396,O011712,6.59,23,0.0,0.0,Failed
DLY000397,O027239,3.56,32,46.7,28.73,Delivered
DLY000398,O018354,6.83,12,65.3,43.32,Delivered
DLY000399,O049515,5.48,28,50.1,52.15,Delivered
DLY000400,O021725,3.56,8,0.0,0.0,Failed
DLY000401,O025925,1.11,30,28.2,16.65,Delivered
DLY000402,O041390,2.44,26,50.5,92.11,Delivered
DLY000403,O004773,3.94,39,73.4,31.08,Delivered
DLY000404,O035205,3.69,40,0.0,0.0,Failed
DLY000405,O027879,4.14,32,84.2,72.46,Delivered
DLY000406,O005875,4.0,7,54.4,20.94,Delivered
DLY000407,O017805,1.65,25,43.3,46.53,Delivered
DLY000408,O034224,1.96,12,16.5,53.2,Delivered
DLY000409,O007842,5.53,15,46.7,131.42,Delivered
DLY000410,O015923,5.29,19,43.4,90.75,Delivered
DLY000411,O028367,2.91,27,56.2,83.8,Delivered
DLY000412,O012084,1.81,8,31.5,21.61,Delivered
DLY000413,O020034,3.79,30,60.4,14.35,Delivered
DLY000414,O014488,2.17,28,0.0,0.0,Failed
DLY000415,O020819,6.09,16,50.9,134.66,Delivered
DLY000416,O037518,2.16,16,41.5,21.5,Delivered
DLY000417,O044236,1.58,20,49.3,16.16,Delivered
DLY000418,O048651,11.81,37,97.8,39.57,Delivered
DLY000419,O036236,2.18,26,60.9,28.78,Delivered
DLY000420,O021070,1.72,24,56.7,73.14,Delivered
DLY000421,O009524,2.69,14,34.5,7.48,Delivered
DLY000422,O032756,5.46,21,62.5,134.32,Delivered
DLY000423,O012054,7.99,15,57.4,5.98,Delivered
DLY000424,O023594,4.24,45,95.0,81.64,Delivered
DLY000425,O008038,2.85,9,35.9,18.23,Delivered
DLY000426,O046977,0.86,18,0.0,0.0,Failed
DLY000427,O016400,10.6,27,78.7,81.72,Delivered
DLY000428,O045786,1.35,21,46.9,20.1,Delivered
DLY000429,O034616,2.54,8,17.1,60.06,Delivered
DLY000430,O007625,2.81,15,0.0,0.0,Failed
DLY000431,O013662,1.93,19,44.7,41.8,Delivered
DLY000432,O037737,8.55,19,64.7,18.38,Delivered
DLY000433,O026542,2.64,8,36.5,48.27,Delivered
DLY000434,O013268,1.69,16,43.8,96.97,Delivered
DLY000435,O018083,13.59,26,76.6,168.8,Delivered
DLY000436,O048086,2.96,12,32.5,203.87,Delivered
DLY000437,O042768,1.39,38,58.0,131.75,Delivered
DLY000438,O004071,3.61,26,39.8,68.53,Delivered
DLY000439,O016287,2.02,19,37.8,200.87,Delivered
DLY000440,O001119,3.05,17,44.9,74.07,Delivered
DLY000441,O010075,5.2,22,43.5,13.79,Delivered
DLY000442,O011374,2.82,18,35.8,131.79,Delivered
DLY000443,O032685,9.36,22,93.4,22.41,Delivered
DLY000444,O046434,8.2,27,71.4,38.45,Delivered
DLY000445,O025350,1.92,24,46.8,55.23,Delivered
DLY000446,O006716,0.98,13,22.6,64.52,Delivered
DLY000447,O034568,4.47,33,66.9,52.37,Delivered
DLY000448,O001031,3.49,21,48.2,11.31,Delivered
DLY000449,O022754,9.55,20,91.2,45.79,Delivered
DLY000450,O011762,4.74,16,51.0,15.73,Delivered
DLY000451,O035897,2.65,9,23.3,37.66,Delivered
DLY000452,O014493,4.91,19,0.0,0.0,Failed
DLY000453,O025086,4.69,14,27.8,16.33,Delivered
DLY000454,O020396,0.5,23,51.8,162.26,Delivered
DLY000455,O004814,7.42,25,56.6,36.07,Delivered
DLY000456,O008995,5.61,28,70.1,36.88,Delivered
DLY000457,O049692,4.38,34,54.6,50.4,Delivered
DLY000458,O021375,2.77,32,68.3,92.17,Delivered
DLY000459,O030243,0.9,18,43.7,135.44,Delivered
DLY000460,O047579,7.24,25,52.1,41.75,Delivered
DLY000461,O001165,6.48,19,61.2,32.86,Delivered
DLY000462,O024811,1.27,43,44.5,28.82,Delivered
DLY000463,O021110,1.05,36,40.7,18.81,Delivered
DLY000464,O003698,5.02,38,92.3,27.21,Delivered
DLY000465,O011439,3.05,7,21.5,14.85,Delivered
DLY000466,O004470,8.05,39,0.0,0.0,Failed
DLY000467,O009808,9.99,24,79.2,85.14,Delivered
DLY000468,O047768,2.22,22,46.1,116.08,Delivered
DLY000469,O006749,2.12,40,42.0,44.24,Delivered
DLY000470,O049185,4.51,11,51.7,54.3,Delivered
DLY000471,O017379,1.77,9,28.0,50.2,Delivered
DLY000472,O036885,4.98,41,67.1,43.59,Delivered
DLY000473,O013357,10.44,39,82.3,111.93,Delivered
DLY000474,O032405,3.58,24,0.0,0.0,Failed
DLY000475,O042455,8.03,25,78.4,11.01,Delivered
DLY000476,O046066,0.99,22,37.3,35.86,Delivered
DLY000477,O011539,3.16,23,42.8,21.04,Delivered
DLY000478,O002009,3.87,41,59.2,40.71,Delivered
DLY000479,O003222,0.8,39,58.8,13.74,Delivered
DLY000480,O044997,10.94,32,81.8,50.18,Delivered
