payment_id,order_id,customer_id,payment_method,payment_status,amount_paid,payment_timestamp
PAY000070,O000070,C04129,UPI,Successful,187.22,2026-01-08 22:28:00
PAY000071,O000071,C04376,Credit Card,Successful,495.96,2026-06-02 01:07:00
PAY000072,O000072,C03826,Wallet,Successful,737.73,2026-06-27 07:22:00
PAY000073,O000073,C02200,Cash,Failed,0.0,2026-06-11 14:14:00
PAY000074,O000074,C01683,UPI,Successful,890.52,2026-03-15 19:02:00
PAY000075,O000075,C04797,UPI,Successful,493.26,2026-01-29 14:20:00
PAY000076,O000076,C03609,Debit Card,Successful,198.78,2026-02-24 18:28:00
PAY000077,O000077,C01019,UPI,Successful,103.81,2026-06-15 19:03:00
PAY000078,O000078,C04761,Credit Card,Failed,0.0,2026-06-26 18:14:00
PAY000079,O000079,C02971,UPI,Successful,256.56,2026-01-11 18:15:00
PAY000080,O000080,C01312,UPI,Refunded,317.69,2026-01-24 22:28:00
PAY000081,O000081,C01419,Debit Card,Successful,1715.44,2026-05-29 22:14:00
PAY000082,O000082,C02501,Wallet,Failed,0.0,2026-02-01 01:05:00
PAY000083,O000083,C02668,UPI,Successful,521.9,2026-03-12 01:09:00
PAY000084,O000084,C01387,Credit Card,Successful,210.85,2026-01-07 16:29:00
PAY000085,O000085,C01145,Wallet,Refunded,1271.37,2026-02-07 18:25:00
PAY000086,O000086,C02064,Debit Card,Successful,465.9,2026-02-01 20:22:00
PAY000087,O000087,C04835,Credit Card,Successful,437.34,2026-05-28 23:16:00
PAY000088,O000088,C01547,Debit Card,Successful,660.96,2026-01-11 18:03:00
PAY000089,O000089,C02146,Credit Card,Successful,793.02,2026-04-18 22:13:00
PAY000090,O000090,C02164,UPI,Successful,803.5,2026-04-16 22:19:00
PAY000091,O000091,C03013,UPI,Successful,615.59,2026-06-21 18:23:00
PAY000092,O000092,C04445,UPI,Successful,319.91,2026-01-18 20:15:00
PAY000093,O000093,C04328,UPI,Successful,396.95,2026-04-26 22:12:00
PAY000094,O000094,C03183,Debit Card,Successful,195.25,2026-05-18 11:19:00
PAY000095,O000095,C03424,Credit Card,Successful,1290.27,2026-01-02 19:09:00
PAY000096,O000096,C04002,UPI,Successful,114.88,2026-04-28 01:02:00
PAY000097,O000097,C03560,UPI,Successful,566.36,2026-01-21 20:21:00
PAY000098,O000098,C01557,Wallet,Successful,457.86,2026-04-25 10:15:00
PAY000099,O000099,C02687,UPI,Successful,544.26,2026-02-21 22:12:00
PAY000100,O000100,C02333,Credit Card,Successful,384.89,2026-01-20 19:27:00
PAY000101,O000101,C01657,UPI,Successful,193.54,2026-03-24 11:01:00
PAY000102,O000102,C00545,Cash,Successful,266.58,2026-04-24 00:02:00
PAY000103,O000103,C00392,UPI,Successful,1118.4,2026-02-27 18:27:00
PAY000104,O000104,C01989,UPI,Successful,1136.3,2026-04-06 05:14:00
PAY000105,O000105,C04086,Credit Card,Successful,167.38,2026-03-08 18:09:00
PAY000106,O000106,C00297,UPI,Failed,0.0,2026-06-20 10:27:00
PAY000107,O000107,C01087,UPI,Successful,1506.85,2026-04-18 22:24:00
PAY000108,O000108,C04366,UPI,Successful,1066.3,2026-02-28 21:19:00
PAY000109,O000109,C03262,UPI,Successful,514.78,2026-02-08 23:04:00
PAY000110,O000110,C04606,Debit Card,Successful,201.18,2026-04-15 16:12:00
PAY000111,O000111,C01117,Wallet,Successful,323.28,2026-06-27 18:20:00
PAY000112,O000112,C01077,Cash,Successful,294.75,2026-03-28 20:23:00
PAY000113,O000113,C00496,UPI,Successful,178.9,2026-06-14 21:08:00
PAY000114,O000114,C02996,Wallet,Successful,631.39,2026-04-06 20:04:00
PAY000115,O000115,C00094,UPI,Successful,637.73,2026-05-26 13:06:00
PAY000116,O000116,C04721,UPI,Successful,299.19,2026-04-18 01:16:00
PAY000117,O000117,C04325,Wallet,Successful,824.3,2026-04-17 00:28:00
PAY000118,O000118,C00721,UPI,Failed,0.0,2026-03-18 08:15:00
PAY000119,O000119,C04363,Credit Card,Successful,369.91,2026-05-05 06:25:00
PAY000120,O000120,C04377,UPI,Successful,1274.15,2026-03-31 08:21:00
PAY000121,O000121,C04027,Credit Card,Successful,997.37,2026-06-02 22:21:00
PAY000122,O000122,C04056,UPI,Successful,1085.96,2026-06-16 22:08:00
PAY000123,O000123,C01107,UPI,Successful,615.98,2026-03-30 19:05:00
PAY000124,O000124,C03933,Credit Card,Successful,709.03,2026-02-17 14:00:00
PAY000125,O000125,C03723,Credit Card,Successful,285.85,2026-03-23 02:21:00
PAY000126,O000126,C01372,UPI,Successful,448.65,2026-05-08 20:05:00
PAY000127,O000127,C00423,Credit Card,Successful,106.01,2026-04-02 01:13:00
PAY000128,O000128,C02006,UPI,Successful,424.23,2026-03-14 00:16:00
PAY000129,O000129,C04550,Credit Card,Failed,0.0,2026-01-05 17:06:00
PAY000130,O000130,C04603,Debit Card,Successful,126.9,2026-02-03 00:08:00
PAY000131,O000131,C04412,UPI,Successful,785.92,2026-06-02 01:10:00
PAY000132,O000132,C00764,Credit Card,Successful,575.47,2026-05-19 07:07:00
PAY000133,O000133,C03369,UPI,Successful,316.65,2026-01-16 11:16:00
PAY000134,O000134,C00898,Cash,Successful,650.05,2026-01-19 23:07:00
PAY000135,O000135,C00953,UPI,Refunded,517.66,2026-06-19 11:05:00
PAY000136,O000136,C02923,Wallet,Successful,1335.85,2026-05-25 02:30:00
PAY000137,O000137,C04480,UPI,Successful,160.51,2026-03-15 12:11:00
PAY000138,O000138,C03198,Wallet,Successful,436.75,2026-06-26 11:29:00
PAY000139,O000139,C04199,UPI,Successful,752.35,2026-06-26 13:03:00
PAY000140,O000140,C00900,Credit Card,Failed,0.0,2026-06-30 15:18:00
PAY000141,O000141,C04024,Credit Card,Successful,629.1,2026-03-10 18:06:00
PAY000142,O000142,C04206,Debit Card,Failed,0.0,2026-04-07 10:09:00
PAY000143,O000143,C03642,UPI,Successful,182.84,2026-04-28 20:12:00
PAY000144,O000144,C03544,UPI,Successful,328.65,2026-05-29 13:12:00
PAY000145,O000145,C03642,Debit Card,Successful,107.77,2026-02-05 07:09:00
PAY000146,O000146,C04766,Credit Card,Failed,0.0,2026-03-01 05:13:00
PAY000147,O000147,C03091,Debit Card,Refunded,241.74,2026-03-06 23:17:00
PAY000148,O000148,C04480,Debit Card,Successful,643.46,2026-05-31 21:27:00
PAY000149,O000149,C00762,Wallet,Successful,840.99,2026-03-28 18:22:00
PAY000150,O000150,C02408,UPI,Successful,661.68,2026-04-15 21:08:00
PAY000151,O000151,C00886,Cash,Successful,531.25,2026-05-22 22:13:00
PAY000152,O000152,C02644,Debit Card,Successful,112.11,2026-04-26 10:30:00
PAY000153,O000153,C03244,UPI,Successful,542.02,2026-06-15 05:17:00
PAY000154,O000154,C01236,Credit Card,Successful,861.53,2026-01-28 21:00:00
PAY000155,O000155,C02934,Wallet,Successful,1302.98,2026-03-27 18:25:00
PAY000156,O000156,C01469,Cash,Successful,1908.11,2026-03-12 10:10:00
PAY000157,O000157,C00010,Credit Card,Successful,1296.8,2026-05-28 22:00:00
PAY000158,O000158,C00792,Credit Card,Successful,315.19,2026-03-29 08:22:00
PAY000159,O000159,C01663,UPI,Successful,975.23,2026-06-16 19:25:00
PAY000160,O000160,C00744,Credit Card,Successful,543.13,2026-02-21 01:28:00
PAY000161,O000161,C02429,Credit Card,Successful,220.94,2026-02-14 19:30:00
PAY000162,O000162,C03494,UPI,Successful,899.01,2026-04-17 12:08:00
PAY000163,O000163,C04547,UPI,Successful,692.96,2026-01-10 06:11:00
PAY000164,O000164,C01117,Debit Card,Successful,121.17,2026-04-30 18:06:00
PAY000165,O000165,C02442,UPI,Successful,487.44,2026-05-19 19:18:00
PAY000166,O000166,C01355,UPI,Successful,228.72,2026-02-17 11:28:00
PAY000167,O000167,C02481,Credit Card,Successful,187.2,2026-03-06 21:06:00
PAY000168,O000168,C03002,Credit Card,Successful,256.16,2026-05-01 19:30:00
PAY000169,O000169,C01187,Debit Card,Successful,1451.37,2026-04-11 22:25:00
PAY000170,O000170,C04088,Credit Card,Successful,661.39,2026-04-24 22:21:00
PAY000171,O000171,C02832,Wallet,Successful,218.21,2026-04-12 11:08:00
PAY000172,O000172,C03662,Credit Card,Refunded,207.38,2026-04-01 00:02:00
PAY000173,O000173,C01749,UPI,Successful,399.03,2026-01-06 08:26:00
PAY000174,O000174,C02864,Credit Card,Successful,1040.1,2026-03-09 01:12:00
PAY000175,O000175,C01115,Debit Card,Successful,585.55,2026-04-19 23:10:00
PAY000176,O000176,C03265,Cash,Successful,1283.88,2026-05-25 14:27:00
PAY000177,O000177,C03091,UPI,Successful,232.46,2026-06-06 12:10:00
PAY000178,O000178,C01064,Wallet,Successful,558.89,2026-03-07 18:03:00
PAY000179,O000179,C03749,UPI,Successful,684.57,2026-05-07 20:11:00
PAY000180,O000180,C04546,Debit Card,Successful,684.98,2026-01-16 01:13:00
PAY000181,O000181,C02733,Debit Card,Successful,329.64,2026-03-07 18:11:00
PAY000182,O000182,C01873,UPI,Failed,0.0,2026-01-29 22:27:00
PAY000183,O000183,C04721,UPI,Successful,756.97,2026-03-27 10:16:00
PAY000184,O000184,C01970,Credit Card,Successful,688.72,2026-04-26 19:22:00
PAY000185,O000185,C00885,Wallet,Failed,0.0,2026-06-20 16:08:00
PAY000186,O000186,C03964,UPI,Successful,563.61,2026-06-02 20:23:00
PAY000187,O000187,C03679,Wallet,Successful,976.82,2026-01-30 23:14:00
PAY000188,O000188,C00319,UPI,Successful,451.0,2026-05-18 22:19:00
PAY000189,O000189,C03817,UPI,Failed,0.0,2026-04-15 18:24:00
PAY000190,O000190,C03718,Debit Card,Successful,624.62,2026-05-29 18:11:00
PAY000191,O000191,C03196,UPI,Successful,314.49,2026-03-28 14:12:00
PAY000192,O000192,C01375,Credit Card,Refunded,852.67,2026-02-06 20:28:00
PAY000193,O000193,C00488,Credit Card,Successful,451.22,2026-01-15 01:27:00
PAY000194,O000194,C00451,Credit Card,Successful,305.27,2026-02-18 03:22:00
PAY000195,O000195,C00353,Credit Card,Successful,1106.41,2026-02-05 06:03:00
PAY000196,O000196,C01941,UPI,Successful,958.05,2026-04-21 10:07:00
PAY000197,O000197,C02368,UPI,Successful,388.81,2026-04-27 13:22:00
PAY000198,O000198,C03237,UPI,Failed,0.0,2026-03-21 23:28:00
PAY000199,O000199,C00248,UPI,Successful,343.48,2026-03-24 06:09:00
PAY000200,O000200,C03504,UPI,Successful,439.13,2026-06-06 21:14:00
PAY000201,O000201,C00568,Credit Card,Successful,499.62,2026-01-26 21:07:00
PAY000202,O000202,C00684,UPI,Successful,632.76,2026-01-20 14:30:00
PAY000203,O000203,C00644,UPI,Successful,481.28,2026-01-13 22:15:00
PAY000204,O000204,C00479,Debit Card,Successful,323.82,2026-03-28 11:16:00
PAY000205,O000205,C02761,Credit Card,Successful,303.84,2026-05-22 18:21:00
PAY000206,O000206,C04464,Wallet,Successful,643.72,2026-05-02 13:00:00
PAY000207,O000207,C04453,UPI,Successful,1628.17,2026-01-17 05:18:00
PAY000208,O000208,C01369,Credit Card,Successful,1393.17,2026-04-02 12:25:00
PAY000209,O000209,C02227,Credit Card,Successful,119.82,2026-01-08 14:18:00
PAY000210,O000210,C03497,Credit Card,Successful,185.7,2026-01-24 08:14:00
PAY000211,O000211,C03613,UPI,Successful,241.56,2026-02-07 21:06:00
PAY000212,O000212,C04008,Wallet,Successful,649.07,2026-03-19 19:05:00
PAY000213,O000213,C01843,Credit Card,Successful,161.15,2026-03-08 07:27:00
PAY000214,O000214,C03378,Debit Card,Successful,811.49,2026-05-03 23:08:00
PAY000215,O000215,C02415,UPI,Successful,1049.17,2026-05-18 14:28:00
PAY000216,O000216,C01060,UPI,Successful,671.51,2026-06-14 06:23:00
PAY000217,O000217,C01645,Credit Card,Successful,673.54,2026-04-20 19:14:00
PAY000218,O000218,C04924,Debit Card,Successful,661.66,2026-02-16 20:30:00
PAY000219,O000219,C01812,UPI,Successful,519.72,2026-04-03 19:19:00
PAY000220,O000220,C02194,UPI,Successful,578.89,2026-04-26 16:00:00
PAY000221,O000221,C02428,Debit Card,Successful,373.8,2026-02-03 00:04:00
PAY000222,O000222,C00168,UPI,Successful,358.32,2026-03-17 09:27:00
PAY000223,O000223,C04183,Wallet,Successful,176.14,2026-02-28 01:22:00
PAY000224,O000224,C00154,UPI,Successful,941.82,2026-04-27 19:12:00
PAY000225,O000225,C02545,Debit Card,Successful,950.1,2026-01-17 19:28:00
PAY000226,O000226,C03869,Debit Card,Successful,622.86,2026-05-29 22:14:00
PAY000227,O000227,C00315,UPI,Successful,668.42,2026-01-18 06:18:00
PAY000228,O000228,C00723,Credit Card,Successful,1174.71,2026-05-31 14:09:00
PAY000229,O000229,C03632,UPI,Successful,132.9,2026-01-25 20:26:00
PAY000230,O000230,C03346,Debit Card,Successful,1300.17,2026-05-21 11:21:00
PAY000231,O000231,C02812,UPI,Successful,474.92,2026-06-06 21:23:00
PAY000232,O000232,C02310,Credit Card,Failed,0.0,2026-04-15 19:21:00
PAY000233,O000233,C02502,UPI,Successful,520.67,2026-06-13 21:29:00
PAY000234,O000234,C03334,Debit Card,Failed,0.0,2026-02-22 19:23:00
PAY000235,O000235,C02024,Debit Card,Successful,295.9,2026-03-02 13:03:00
PAY000236,O000236,C00350,UPI,Successful,326.37,2026-03-09 20:20:00
PAY000237,O000237,C00824,Credit Card,Successful,1262.08,2026-06-24 07:05:00
PAY000238,O000238,C00438,Wallet,Successful,787.05,2026-01-13 18:02:00
PAY000239,O000239,C00169,Debit Card,Successful,217.23,2026-01-02 18:14:00
PAY000240,O000240,C03820,Credit Card,Refunded,221.1,2026-01-10 15:13:00
PAY000241,O000241,C03415,UPI,Successful,796.43,2026-03-30 10:03:00
PAY000242,O000242,C03302,Credit Card,Successful,281.79,2026-02-09 18:07:00
PAY000243,O000243,C04119,UPI,Successful,813.04,2026-03-29 22:19:00
PAY000244,O000244,C03036,Credit Card,Successful,205.39,2026-04-07 05:22:00
PAY000245,O000245,C04377,Cash,Successful,278.7,2026-03-29 16:30:00
PAY000246,O000246,C03591,UPI,Successful,873.99,2026-03-22 21:04:00
PAY000247,O000247,C02770,Credit Card,Successful,493.05,2026-03-13 12:15:00
PAY000248,O000248,C02301,UPI,Successful,472.18,2026-02-28 17:06:00
PAY000249,O000249,C04500,Debit Card,Successful,85.92,2026-02-28 18:02:00
PAY000250,O000250,C02181,UPI,Successful,286.4,2026-02-08 03:17:00
PAY000251,O000251,C03346,Credit Card,Successful,928.87,2026-03-14 04:08:00
PAY000252,O000252,C02666,Cash,Successful,583.64,2026-04-10 18:22:00
PAY000253,O000253,C00232,UPI,Successful,201.46,2026-06-20 11:18:00
PAY000254,O000254,C02593,Credit Card,Successful,239.67,2026-05-12 02:20:00
PAY000255,O000255,C04175,UPI,Failed,0.0,2026-06-14 19:23:00
PAY000256,O000256,C01059,UPI,Successful,1188.42,2026-02-09 07:11:00
PAY000257,O000257,C02543,UPI,Successful,988.42,2026-02-14 22:16:00
PAY000258,O000258,C01134,Credit Card,Successful,339.84,2026-02-24 21:24:00
PAY000259,O000259,C03647,Credit Card,Successful,523.88,2026-06-25 07:22:00
PAY000260,O000260,C02376,UPI,Successful,212.87,2026-04-06 08:18:00
PAY000261,O000261,C03881,Cash,Successful,429.77,2026-05-30 04:17:00
PAY000262,O000262,C02738,Credit Card,Failed,0.0,2026-05-28 13:18:00
PAY000263,O000263,C02432,UPI,Successful,1206.92,2026-06-10 10:16:00
PAY000264,O000264,C01388,Wallet,Successful,903.13,2026-02-07 12:08:00
PAY000265,O000265,C03304,Credit Card,Successful,456.09,2026-04-04 20:11:00
PAY000266,O000266,C01438,Debit Card,Successful,1041.94,2026-04-18 13:07:00
PAY000267,O000267,C03366,Wallet,Successful,612.76,2026-04-04 06:16:00
PAY000268,O000268,C04643,Credit Card,Successful,908.78,2026-06-04 20:29:00
PAY000269,O000269,C01730,UPI,Refunded,108.86,2026-06-20 00:00:00
PAY000270,O000270,C02440,UPI,Successful,1718.69,2026-02-09 20:22:00
PAY000271,O000271,C03174,Wallet,Successful,585.08,2026-01-11 11:07:00
PAY000272,O000272,C03908,Debit Card,Successful,410.09,2026-05-14 11:26:00
PAY000273,O000273,C01317,UPI,Successful,286.47,2026-04-03 14:00:00
PAY000274,O000274,C00685,UPI,Successful,612.96,2026-06-20 07:14:00
PAY000275,O000275,C02589,Credit Card,Successful,319.41,2026-05-09 16:08:00
PAY000276,O000276,C03544,Debit Card,Failed,0.0,2026-02-26 19:29:00
PAY000277,O000277,C03088,UPI,Successful,212.4,2026-04-06 23:03:00
PAY000278,O000278,C01676,UPI,Successful,257.89,2026-06-12 23:02:00
PAY000279,O000279,C02114,UPI,Successful,687.09,2026-06-03 18:23:00
PAY000280,O000280,C00958,Debit Card,Successful,835.63,2026-03-26 19:07:00
PAY000281,O000281,C03544,UPI,Refunded,371.8,2026-02-09 22:25:00
PAY000282,O000282,C03095,Wallet,Successful,193.57,2026-01-20 00:01:00
PAY000283,O000283,C04798,UPI,Failed,0.0,2026-02-01 00:09:00
PAY000284,O000284,C02808,Credit Card,Successful,270.38,2026-03-22 00:21:00
PAY000285,O000285,C00821,Cash,Successful,914.86,2026-05-10 16:27:00
PAY000286,O000286,C00888,Wallet,Refunded,976.9,2026-02-01 00:01:00
PAY000287,O000287,C03729,Credit Card,Successful,282.84,2026-05-04 11:13:00
PAY000288,O000288,C03994,UPI,Successful,765.55,2026-02-25 01:19:00
PAY000289,O000289,C03085,Wallet,Successful,763.59,2026-04-24 16:25:00
PAY000290,O000290,C00876,Wallet,Failed,0.0,2026-03-29 20:23:00
PAY000291,O000291,C04262,Credit Card,Successful,466.82,2026-06-07 20:29:00
PAY000292,O000292,C03997,Wallet,Successful,261.35,2026-06-17 12:22:00
PAY000293,O000293,C00557,UPI,Failed,0.0,2026-03-11 19:28:00
PAY000294,O000294,C02215,UPI,Successful,229.68,2026-03-08 18:24:00
PAY000295,O000295,C00709,UPI,Refunded,763.72,2026-04-21 21:05:00
PAY000296,O000296,C00718,Debit Card,Successful,999.99,2026-02-22 20:11:00
PAY000297,O000297,C03666,UPI,Successful,298.06,2026-04-17 09:04:00
PAY000298,O000298,C02145,UPI,Refunded,712.56,2026-03-16 07:17:00
PAY000299,O000299,C02020,UPI,Successful,1113.33,2026-03-28 13:26:00
PAY000300,O000300,C03780,UPI,Successful,150.77,2026-05-24 05:21:00
PAY000301,O000301,C00291,UPI,Successful,616.1,2026-01-20 22:06:00
PAY000302,O000302,C02184,Credit Card,Successful,127.37,2026-01-27 20:08:00
PAY000303,O000303,C03880,UPI,Successful,635.86,2026-01-21 20:01:00
PAY000304,O000304,C02937,Credit Card,Successful,1260.11,2026-04-23 19:24:00
PAY000305,O000305,C02415,UPI,Successful,1422.22,2026-06-07 01:22:00
PAY000306,O000306,C02296,Credit Card,Successful,551.65,2026-06-13 14:26:00
PAY000307,O000307,C02814,UPI,Successful,273.57,2026-04-05 15:20:00
PAY000308,O000308,C01238,UPI,Successful,538.33,2026-04-28 07:07:00
PAY000309,O000309,C02118,Wallet,Successful,464.28,2026-05-05 22:11:00
PAY000310,O000310,C04842,Credit Card,Successful,480.11,2026-03-25 13:13:00
PAY000311,O000311,C03044,UPI,Successful,974.35,2026-04-29 00:21:00
PAY000312,O000312,C03088,Credit Card,Successful,1241.76,2026-03-06 08:05:00
PAY000313,O000313,C03559,Credit Card,Successful,419.95,2026-04-24 21:12:00
PAY000314,O000314,C00699,Debit Card,Successful,631.59,2026-03-31 20:20:00
PAY000315,O000315,C02854,UPI,Successful,909.48,2026-01-30 10:03:00
PAY000316,O000316,C03809,Debit Card,Successful,260.53,2026-06-02 22:26:00
PAY000317,O000317,C04620,Cash,Successful,204.26,2026-02-18 00:06:00
PAY000318,O000318,C01846,Debit Card,Successful,1092.36,2026-01-19 18:30:00
PAY000319,O000319,C04015,UPI,Successful,472.77,2026-05-31 11:16:00
PAY000320,O000320,C03183,Cash,Successful,1019.62,2026-06-06 19:09:00
PAY000321,O000321,C00464,Wallet,Successful,810.56,2026-01-09 23:18:00
PAY000322,O000322,C03861,Debit Card,Successful,682.37,2026-06-19 23:07:00
PAY000323,O000323,C00451,Wallet,Successful,411.76,2026-01-13 14:20:00
PAY000324,O000324,C01916,UPI,Successful,391.4,2026-02-07 21:15:00
PAY000325,O000325,C00924,UPI,Successful,112.84,2026-01-02 11:07:00
PAY000326,O000326,C03623,Credit Card,Failed,0.0,2026-01-03 19:15:00
PAY000327,O000327,C00316,Debit Card,Successful,2085.33,2026-01-16 17:05:00
PAY000328,O000328,C04767,UPI,Refunded,348.06,2026-06-10 10:21:00
PAY000329,O000329,C04794,Cash,Refunded,353.02,2026-01-11 07:05:00
PAY000330,O000330,C01377,Debit Card,Successful,286.44,2026-05-16 03:27:00
PAY000331,O000331,C02816,UPI,Successful,1306.2,2026-04-14 06:01:00
PAY000332,O000332,C01263,Credit Card,Successful,89.13,2026-05-23 19:07:00
PAY000333,O000333,C01128,Credit Card,Successful,174.03,2026-05-31 15:26:00
PAY000334,O000334,C02926,UPI,Successful,1035.69,2026-03-18 13:25:00
PAY000335,O000335,C01053,UPI,Successful,631.71,2026-01-28 15:28:00
PAY000336,O000336,C04185,Credit Card,Successful,742.44,2026-01-01 11:16:00
PAY000337,O000337,C02423,Debit Card,Successful,351.38,2026-06-10 22:25:00
PAY000338,O000338,C03469,Debit Card,Successful,329.32,2026-04-09 19:18:00
PAY000339,O000339,C04460,Debit Card,Failed,0.0,2026-04-04 09:28:00
PAY000340,O000340,C04022,UPI,Successful,317.28,2026-05-15 12:00:00
PAY000341,O000341,C04410,Credit Card,Successful,399.51,2026-03-01 08:08:00
PAY000342,O000342,C00548,Cash,Successful,98.16,2026-06-29 19:23:00
PAY000343,O000343,C04892,Credit Card,Successful,553.34,2026-04-13 18:26:00
PAY000344,O000344,C03524,Credit Card,Successful,321.22,2026-01-13 19:05:00
PAY000345,O000345,C01530,UPI,Refunded,308.84,2026-02-01 06:23:00
PAY000346,O000346,C00107,Wallet,Successful,626.67,2026-02-23 21:11:00
