customer_id,total_orders,avg_order_value,total_spending,weekend_orders,late_night_orders,ordering_frequency,avg_rating_given,cluster,segment_name
C00033,8,515.3525,4122.82,3,2,2.0,3.75,0,Occasional / Lower-Engagement Customers
C00034,6,1128.835,6773.01,3,1,1.5,4.25,0,Occasional / Lower-Engagement Customers
C00035,13,556.1161538461539,7229.51,7,2,2.6,3.375,1,Highly Engaged / High-Value Customers
C00036,8,776.8712499999999,6214.969999999999,2,2,1.6,3.5,0,Occasional / Lower-Engagement Customers
C00037,7,436.8514285714286,3057.96,1,2,1.4,4.333333333333333,0,Occasional / Lower-Engagement Customers
C00038,8,712.57875,5700.63,1,1,1.3333333333333333,3.8,0,Occasional / Lower-Engagement Customers
C00039,5,570.262,2851.31,2,1,2.5,4.666666666666667,0,Occasional / Lower-Engagement Customers
C00040,6,575.1566666666666,3450.94,3,3,1.5,4.25,0,Occasional / Lower-Engagement Customers
C00041,8,390.42,3123.36,4,1,1.6,3.8,0,Occasional / Lower-Engagement Customers
C00042,8,470.24875,3761.99,4,1,1.3333333333333333,4.75,0,Occasional / Lower-Engagement Customers
C00043,5,721.196,3605.98,2,4,1.6666666666666667,4.0,0,Occasional / Lower-Engagement Customers
C00044,7,478.8985714285714,3352.29,4,1,1.4,2.833333333333333,0,Occasional / Lower-Engagement Customers
C00045,9,491.2055555555556,4420.85,3,3,1.8,3.8333333333333335,0,Occasional / Lower-Engagement Customers
C00046,9,704.9222222222222,6344.3,2,3,1.8,3.8,0,Occasional / Lower-Engagement Customers
C00047,12,799.5516666666667,9594.62,3,4,2.4,2.857142857142857,1,Highly Engaged / High-Value Customers
C00048,11,559.4990909090909,6154.49,6,2,1.8333333333333333,4.142857142857143,1,Highly Engaged / High-Value Customers
C00049,7,593.16,4152.12,3,0,1.1666666666666667,4.666666666666667,0,Occasional / Lower-Engagement Customers
C00050,6,698.225,4189.35,2,0,1.5,4.25,0,Occasional / Lower-Engagement Customers
C00051,9,484.75888888888886,4362.83,4,3,2.25,3.5,1,Highly Engaged / High-Value Customers
C00052,9,712.1822222222222,6409.64,3,1,1.8,4.4,0,Occasional / Lower-Engagement Customers
C00053,13,450.5907692307693,5857.68,8,2,3.25,4.181818181818182,1,Highly Engaged / High-Value Customers
C00054,10,751.934,7519.34,3,1,1.6666666666666667,3.7142857142857135,1,Highly Engaged / High-Value Customers
C00055,10,600.2909999999999,6002.91,6,1,2.0,4.0,1,Highly Engaged / High-Value Customers
C00056,8,675.7175,5405.74,5,5,1.6,3.857142857142857,1,Highly Engaged / High-Value Customers
C00057,6,546.0166666666667,3276.1,4,3,1.2,4.0,0,Occasional / Lower-Engagement Customers
C00058,6,510.3733333333334,3062.24,4,1,1.2,4.0,0,Occasional / Lower-Engagement Customers
C00059,12,538.5758333333333,6462.91,7,1,2.4,4.428571428571429,1,Highly Engaged / High-Value Customers
C00060,10,742.529,7425.29,5,2,1.6666666666666667,3.125,1,Highly Engaged / High-Value Customers
C00061,9,484.43888888888887,4359.95,3,3,1.8,4.428571428571429,0,Occasional / Lower-Engagement Customers
C00062,9,658.1555555555556,5923.4,1,2,1.8,3.5,0,Occasional / Lower-Engagement Customers
C00063,9,666.9766666666667,6002.79,3,1,1.8,3.4,0,Occasional / Lower-Engagement Customers
C00064,7,306.72,2147.04,4,1,1.75,4.0,0,Occasional / Lower-Engagement Customers
C00065,7,538.2457142857144,3767.72,0,3,1.75,4.5,0,Occasional / Lower-Engagement Customers
C00066,9,699.0377777777778,6291.34,6,5,2.25,4.166666666666667,1,Highly Engaged / High-Value Customers
C00067,9,589.9777777777776,5309.799999999999,1,2,1.8,3.7142857142857135,0,Occasional / Lower-Engagement Customers
C00068,9,458.2311111111111,4124.08,3,2,1.8,3.5,0,Occasional / Lower-Engagement Customers
C00069,9,710.5411111111111,6394.87,3,1,1.8,3.2,0,Occasional / Lower-Engagement Customers
C00070,12,693.3166666666666,8319.8,3,4,2.4,3.4285714285714284,1,Highly Engaged / High-Value Customers
C00071,11,500.18,5501.98,3,3,2.2,3.5,1,Highly Engaged / High-Value Customers
C00072,8,579.62,4636.96,4,2,2.0,4.4,0,Occasional / Lower-Engagement Customers
C00073,12,755.8266666666667,9069.92,5,5,3.0,3.5,1,Highly Engaged / High-Value Customers
C00074,10,770.679,7706.79,3,5,2.5,4.333333333333333,1,Highly Engaged / High-Value Customers
C00075,4,788.165,3152.66,0,1,1.0,4.5,0,Occasional / Lower-Engagement Customers
C00076,5,588.594,2942.9700000000003,1,0,1.6666666666666667,4.5,0,Occasional / Lower-Engagement Customers
C00077,9,385.5022222222222,3469.52,3,3,1.8,2.25,0,Occasional / Lower-Engagement Customers
C00078,4,618.5074999999999,2474.03,1,1,2.0,4.333333333333333,0,Occasional / Lower-Engagement Customers
C00079,7,487.5214285714285,3412.65,2,1,1.1666666666666667,3.0,0,Occasional / Lower-Engagement Customers
C00080,9,659.8,5938.2,4,4,1.8,4.6,1,Highly Engaged / High-Value Customers
C00081,7,710.0057142857142,4970.04,3,2,1.75,4.0,0,Occasional / Lower-Engagement Customers
C00082,12,477.83,5733.96,6,3,2.0,3.8333333333333335,1,Highly Engaged / High-Value Customers
C00083,14,720.7885714285713,10091.04,3,3,2.8,3.9,1,Highly Engaged / High-Value Customers
C00084,11,525.98,5785.78,3,2,2.2,3.0,1,Highly Engaged / High-Value Customers
C00085,10,334.63,3346.3,5,4,1.6666666666666667,3.571428571428572,0,Occasional / Lower-Engagement Customers
C00086,10,551.861,5518.61,3,3,2.5,3.6666666666666665,1,Highly Engaged / High-Value Customers
C00087,8,603.31875,4826.55,2,2,1.3333333333333333,4.0,0,Occasional / Lower-Engagement Customers
C00088,14,469.56142857142856,6573.86,7,5,2.333333333333333,3.555555555555556,1,Highly Engaged / High-Value Customers
C00089,8,570.95375,4567.63,2,2,2.6666666666666665,3.142857142857143,0,Occasional / Lower-Engagement Customers
C00090,10,740.173,7401.73,5,4,2.0,3.4,1,Highly Engaged / High-Value Customers
C00091,7,569.7785714285714,3988.45,2,2,2.333333333333333,4.5,0,Occasional / Lower-Engagement Customers
C00092,15,631.946,9479.19,6,4,3.0,3.909090909090909,1,Highly Engaged / High-Value Customers
C00093,7,660.3757142857143,4622.63,3,0,1.75,3.5,0,Occasional / Lower-Engagement Customers
C00094,8,486.4,3891.2,2,2,2.0,4.166666666666667,0,Occasional / Lower-Engagement Customers
C00095,4,518.4425,2073.77,1,0,1.3333333333333333,4.666666666666667,0,Occasional / Lower-Engagement Customers
C00096,9,437.0444444444445,3933.4,4,1,1.8,4.8,0,Occasional / Lower-Engagement Customers
C00097,9,472.91333333333336,4256.22,3,2,2.25,3.5,0,Occasional / Lower-Engagement Customers
C00098,8,396.5725,3172.58,1,2,2.0,3.4285714285714284,0,Occasional / Lower-Engagement Customers
C00099,12,783.7425,9404.91,4,3,2.0,3.888888888888889,1,Highly Engaged / High-Value Customers
C00100,10,376.61,3766.1,4,0,2.5,3.6666666666666665,0,Occasional / Lower-Engagement Customers
C00101,13,533.246923076923,6932.21,6,4,2.6,3.7,1,Highly Engaged / High-Value Customers
C00102,12,557.2016666666667,6686.42,5,3,2.0,4.0,1,Highly Engaged / High-Value Customers
C00103,8,489.2075,3913.66,5,2,1.6,4.333333333333333,0,Occasional / Lower-Engagement Customers
C00104,7,506.22857142857146,3543.6000000000004,3,2,1.75,4.0,0,Occasional / Lower-Engagement Customers
C00105,7,549.1414285714286,3843.99,4,1,1.75,3.4,0,Occasional / Lower-Engagement Customers
C00106,9,771.5488888888889,6943.94,4,5,1.8,3.571428571428572,1,Highly Engaged / High-Value Customers
C00107,11,720.3790909090909,7924.17,3,3,2.2,4.0,1,Highly Engaged / High-Value Customers
C00108,9,544.7466666666667,4902.72,2,1,1.5,4.125,0,Occasional / Lower-Engagement Customers
C00109,9,513.2822222222222,4619.54,3,1,1.5,4.333333333333333,0,Occasional / Lower-Engagement Customers
C00110,10,603.1659999999999,6031.66,4,0,2.0,4.375,0,Occasional / Lower-Engagement Customers
C00111,10,365.439,3654.39,5,3,2.5,4.555555555555555,1,Highly Engaged / High-Value Customers
C00112,15,585.4166666666666,8781.25,4,3,2.5,3.6666666666666665,1,Highly Engaged / High-Value Customers
C00113,10,601.988,6019.88,4,2,2.5,3.8333333333333335,1,Highly Engaged / High-Value Customers
C00114,9,587.5688888888889,5288.12,3,2,2.25,4.5,0,Occasional / Lower-Engagement Customers
C00115,3,476.07333333333327,1428.2199999999998,0,1,1.0,3.6666666666666665,0,Occasional / Lower-Engagement Customers
C00116,5,631.072,3155.36,3,1,1.25,3.75,0,Occasional / Lower-Engagement Customers
C00117,7,581.5600000000001,4070.92,2,3,1.4,4.0,0,Occasional / Lower-Engagement Customers
C00118,9,556.2133333333334,5005.92,4,6,1.8,3.5,1,Highly Engaged / High-Value Customers
C00119,12,649.3066666666667,7791.68,3,1,2.4,3.857142857142857,1,Highly Engaged / High-Value Customers
C00120,7,828.6400000000001,5800.4800000000005,0,2,1.4,3.333333333333333,0,Occasional / Lower-Engagement Customers
C00121,17,715.0335294117647,12155.57,4,3,2.833333333333333,4.076923076923077,1,Highly Engaged / High-Value Customers
C00122,14,725.9178571428572,10162.85,5,5,2.333333333333333,3.6,1,Highly Engaged / High-Value Customers
C00123,8,270.79,2166.32,4,1,1.6,4.2,0,Occasional / Lower-Engagement Customers
C00124,11,542.5081818181818,5967.59,1,5,2.75,4.333333333333333,1,Highly Engaged / High-Value Customers
C00125,7,715.9714285714286,5011.8,3,2,1.4,3.8,0,Occasional / Lower-Engagement Customers
C00126,9,640.5344444444445,5764.81,2,3,1.8,4.25,0,Occasional / Lower-Engagement Customers
C00127,11,695.9054545454545,7654.96,4,2,1.8333333333333333,3.375,1,Highly Engaged / High-Value Customers
C00128,7,460.76714285714286,3225.37,1,1,2.333333333333333,3.333333333333333,0,Occasional / Lower-Engagement Customers
C00129,7,798.0557142857143,5586.39,2,1,1.75,3.2,0,Occasional / Lower-Engagement Customers
C00130,6,683.7216666666667,4102.33,0,1,1.5,3.333333333333333,0,Occasional / Lower-Engagement Customers
C00131,9,580.6844444444445,5226.16,3,3,2.25,3.0,1,Highly Engaged / High-Value Customers
C00132,13,531.3,6906.9,5,2,2.6,3.3,1,Highly Engaged / High-Value Customers
C00133,9,541.9522222222222,4877.57,2,2,2.25,3.2,0,Occasional / Lower-Engagement Customers
C00134,11,582.1554545454545,6403.71,3,4,1.8333333333333333,4.0,1,Highly Engaged / High-Value Customers
C00135,8,456.14375,3649.15,7,2,1.6,3.0,0,Occasional / Lower-Engagement Customers
C00136,14,635.4885714285714,8896.84,3,3,2.8,4.3,1,Highly Engaged / High-Value Customers
C00137,8,427.69875,3421.59,4,2,1.6,3.4,0,Occasional / Lower-Engagement Customers
C00138,8,768.65125,6149.21,3,3,1.3333333333333333,3.2857142857142856,0,Occasional / Lower-Engagement Customers
C00139,13,502.8476923076923,6537.02,2,2,2.6,3.75,1,Highly Engaged / High-Value Customers
C00140,8,657.245,5257.96,1,3,1.6,3.333333333333333,0,Occasional / Lower-Engagement Customers
C00141,8,518.15625,4145.25,3,2,1.6,4.25,0,Occasional / Lower-Engagement Customers
C00142,9,640.2377777777779,5762.14,4,1,1.8,4.142857142857143,0,Occasional / Lower-Engagement Customers
C00143,10,571.5550000000001,5715.55,1,4,2.0,3.2222222222222223,0,Occasional / Lower-Engagement Customers
C00144,7,550.1785714285714,3851.25,3,3,1.4,3.6666666666666665,0,Occasional / Lower-Engagement Customers
C00145,8,725.145,5801.16,2,1,1.6,3.1666666666666665,0,Occasional / Lower-Engagement Customers
C00146,10,461.975,4619.75,3,1,2.0,3.8,0,Occasional / Lower-Engagement Customers
C00147,7,542.3514285714285,3796.46,1,2,1.75,4.0,0,Occasional / Lower-Engagement Customers
C00148,5,654.9,3274.5,2,1,1.6666666666666667,3.0,0,Occasional / Lower-Engagement Customers
C00149,10,649.796,6497.96,5,2,2.0,4.428571428571429,1,Highly Engaged / High-Value Customers
C00150,5,468.4459999999999,2342.23,1,0,1.25,4.0,0,Occasional / Lower-Engagement Customers
C00151,12,451.1333333333334,5413.6,4,1,2.4,3.571428571428572,1,Highly Engaged / High-Value Customers
C00152,10,452.702,4527.02,3,3,2.5,4.333333333333333,1,Highly Engaged / High-Value Customers
C00153,8,613.035,4904.28,3,2,1.6,3.0,0,Occasional / Lower-Engagement Customers
C00154,11,676.3018181818181,7439.32,3,1,2.2,3.857142857142857,1,Highly Engaged / High-Value Customers
C00155,7,599.46,4196.22,2,3,2.333333333333333,4.5,0,Occasional / Lower-Engagement Customers
C00156,12,555.1875,6662.25,5,1,2.0,3.4444444444444446,1,Highly Engaged / High-Value Customers
C00157,6,527.0383333333333,3162.23,0,2,1.5,4.0,0,Occasional / Lower-Engagement Customers
C00158,7,634.0057142857142,4438.04,4,1,1.75,3.6,0,Occasional / Lower-Engagement Customers
C00159,10,510.825,5108.25,4,3,2.5,3.857142857142857,1,Highly Engaged / High-Value Customers
C00160,7,918.4871428571428,6429.41,0,1,1.75,3.4,0,Occasional / Lower-Engagement Customers
C00161,14,628.3678571428571,8797.15,6,3,2.333333333333333,3.5384615384615383,1,Highly Engaged / High-Value Customers
C00162,8,242.19125,1937.53,2,1,2.0,3.5,0,Occasional / Lower-Engagement Customers
C00163,9,538.2033333333334,4843.83,4,1,1.8,4.5,0,Occasional / Lower-Engagement Customers
C00164,7,540.1671428571428,3781.17,6,2,1.1666666666666667,3.6666666666666665,0,Occasional / Lower-Engagement Customers
C00165,14,495.68,6939.52,6,4,2.8,3.727272727272727,1,Highly Engaged / High-Value Customers
C00166,10,529.77,5297.7,3,1,1.6666666666666667,3.375,0,Occasional / Lower-Engagement Customers
C00167,12,903.6941666666668,10844.33,7,4,2.4,3.111111111111111,1,Highly Engaged / High-Value Customers
C00168,12,388.6775,4664.13,4,2,2.4,3.7142857142857135,1,Highly Engaged / High-Value Customers
C00169,15,626.8913333333334,9403.37,5,6,2.5,3.5,1,Highly Engaged / High-Value Customers
C00170,7,944.2514285714286,6609.76,3,2,2.333333333333333,4.285714285714286,1,Highly Engaged / High-Value Customers
C00171,12,602.8608333333333,7234.33,4,2,2.0,4.0,1,Highly Engaged / High-Value Customers
C00172,10,305.312,3053.12,3,0,2.5,4.0,0,Occasional / Lower-Engagement Customers
C00173,5,664.738,3323.6900000000005,3,2,1.0,4.333333333333333,0,Occasional / Lower-Engagement Customers
C00174,11,637.1009090909091,7008.11,6,4,2.2,4.333333333333333,1,Highly Engaged / High-Value Customers
C00175,7,575.2371428571429,4026.66,4,1,1.75,3.75,0,Occasional / Lower-Engagement Customers
C00176,9,660.1833333333334,5941.650000000001,3,4,1.8,4.5,1,Highly Engaged / High-Value Customers
C00177,5,773.948,3869.74,1,1,2.5,4.25,0,Occasional / Lower-Engagement Customers
C00178,11,699.9418181818182,7699.360000000001,4,5,1.8333333333333333,3.25,1,Highly Engaged / High-Value Customers
C00179,11,468.94545454545454,5158.4,4,1,1.8333333333333333,3.2857142857142856,0,Occasional / Lower-Engagement Customers
C00180,11,448.5363636363636,4933.9,4,3,1.8333333333333333,2.75,1,Highly Engaged / High-Value Customers
C00181,9,434.7711111111111,3912.94,3,2,1.8,4.25,0,Occasional / Lower-Engagement Customers
C00182,8,561.82,4494.56,3,3,1.6,4.0,0,Occasional / Lower-Engagement Customers
C00183,12,568.9975000000001,6827.97,1,4,2.0,3.7142857142857135,1,Highly Engaged / High-Value Customers
C00184,7,563.5514285714286,3944.86,3,1,1.75,3.5,0,Occasional / Lower-Engagement Customers
C00185,10,467.578,4675.78,4,0,2.0,3.0,0,Occasional / Lower-Engagement Customers
C00186,11,520.0281818181818,5720.31,2,2,2.2,4.0,1,Highly Engaged / High-Value Customers
C00187,8,841.52375,6732.19,3,0,1.3333333333333333,3.25,0,Occasional / Lower-Engagement Customers
C00188,9,498.3,4484.7,3,2,1.8,3.6666666666666665,0,Occasional / Lower-Engagement Customers
C00189,8,692.1825,5537.46,1,2,1.6,4.0,0,Occasional / Lower-Engagement Customers
C00190,6,494.0683333333333,2964.41,2,1,1.5,4.0,0,Occasional / Lower-Engagement Customers
C00191,8,633.9712499999999,5071.77,3,4,1.6,3.5,0,Occasional / Lower-Engagement Customers
C00192,5,454.576,2272.88,2,2,1.6666666666666667,4.0,0,Occasional / Lower-Engagement Customers
C00193,3,385.7966666666666,1157.39,1,1,1.5,5.0,0,Occasional / Lower-Engagement Customers
C00194,11,541.02,5951.22,5,0,2.2,3.8333333333333335,1,Highly Engaged / High-Value Customers
C00195,8,327.66625,2621.33,2,1,2.0,4.4,0,Occasional / Lower-Engagement Customers
C00196,10,334.83000000000004,3348.3,4,4,2.0,3.888888888888889,0,Occasional / Lower-Engagement Customers
C00197,8,605.70875,4845.67,2,2,1.6,4.0,0,Occasional / Lower-Engagement Customers
C00198,12,1000.3208333333332,12003.85,3,5,2.0,4.166666666666667,1,Highly Engaged / High-Value Customers
C00199,13,567.5276923076924,7377.860000000001,8,2,2.6,3.857142857142857,1,Highly Engaged / High-Value Customers
C00200,12,452.4958333333333,5429.95,4,2,2.4,4.0,1,Highly Engaged / High-Value Customers
C00201,8,484.7175,3877.74,1,2,1.3333333333333333,3.6666666666666665,0,Occasional / Lower-Engagement Customers
C00202,8,616.01125,4928.09,2,2,1.6,3.333333333333333,0,Occasional / Lower-Engagement Customers
C00203,10,692.671,6926.71,4,3,1.6666666666666667,4.25,1,Highly Engaged / High-Value Customers
C00204,15,639.1746666666667,9587.62,4,5,3.0,4.375,1,Highly Engaged / High-Value Customers
C00205,13,581.8292307692308,7563.78,4,3,2.1666666666666665,4.0,1,Highly Engaged / High-Value Customers
C00206,13,613.6838461538462,7977.89,1,0,2.1666666666666665,4.285714285714286,1,Highly Engaged / High-Value Customers
C00207,11,616.1190909090909,6777.31,4,0,2.2,3.25,1,Highly Engaged / High-Value Customers
C00208,18,540.1405555555556,9722.53,6,8,3.6,4.0,1,Highly Engaged / High-Value Customers
C00209,9,541.1255555555556,4870.13,4,1,1.5,4.333333333333333,0,Occasional / Lower-Engagement Customers
C00210,9,544.6066666666667,4901.46,7,1,1.8,4.666666666666667,1,Highly Engaged / High-Value Customers
C00211,12,446.2625,5355.15,3,4,2.4,3.0,1,Highly Engaged / High-Value Customers
C00212,16,563.329375,9013.27,5,6,3.2,3.6666666666666665,1,Highly Engaged / High-Value Customers
C00213,8,446.905,3575.24,4,1,2.0,4.0,0,Occasional / Lower-Engagement Customers
C00214,8,534.2675,4274.14,5,2,1.6,4.8,0,Occasional / Lower-Engagement Customers
C00215,8,465.36125,3722.89,4,1,2.0,4.0,0,Occasional / Lower-Engagement Customers
C00216,10,500.061,5000.61,6,0,1.6666666666666667,4.142857142857143,0,Occasional / Lower-Engagement Customers
C00217,14,688.8992857142857,9644.59,5,1,2.333333333333333,3.7,1,Highly Engaged / High-Value Customers
C00218,6,565.9683333333334,3395.81,2,3,1.2,5.0,0,Occasional / Lower-Engagement Customers
C00219,8,663.7049999999999,5309.639999999999,2,2,1.6,3.6,0,Occasional / Lower-Engagement Customers
C00220,9,443.6477777777778,3992.83,4,2,1.5,3.333333333333333,0,Occasional / Lower-Engagement Customers
C00221,11,555.0190909090909,6105.21,4,5,2.2,3.4,1,Highly Engaged / High-Value Customers
C00222,9,438.82,3949.38,4,1,1.8,3.571428571428572,0,Occasional / Lower-Engagement Customers
C00223,11,665.5490909090909,7321.04,4,1,2.2,2.6666666666666665,1,Highly Engaged / High-Value Customers
C00224,8,478.74625,3829.97,1,1,1.6,3.25,0,Occasional / Lower-Engagement Customers
C00225,15,511.888,7678.32,5,4,3.0,3.125,1,Highly Engaged / High-Value Customers
C00226,9,560.7422222222223,5046.68,4,2,1.8,3.125,0,Occasional / Lower-Engagement Customers
C00227,12,597.9641666666666,7175.57,5,4,2.0,4.111111111111111,1,Highly Engaged / High-Value Customers
C00228,16,471.18875,7539.019999999999,10,5,2.6666666666666665,4.111111111111111,1,Highly Engaged / High-Value Customers
C00229,9,473.83,4264.47,2,2,1.5,3.4285714285714284,0,Occasional / Lower-Engagement Customers
C00230,15,539.4346666666667,8091.52,4,3,2.5,4.25,1,Highly Engaged / High-Value Customers
C00231,14,516.0864285714285,7225.21,4,5,2.333333333333333,3.909090909090909,1,Highly Engaged / High-Value Customers
C00232,10,397.253,3972.53,3,2,2.0,4.2,0,Occasional / Lower-Engagement Customers
C00233,8,435.51375,3484.11,2,1,1.6,4.0,0,Occasional / Lower-Engagement Customers
C00234,13,637.713076923077,8290.27,3,3,2.1666666666666665,3.142857142857143,1,Highly Engaged / High-Value Customers
C00235,7,377.5957142857143,2643.17,2,2,1.4,3.25,0,Occasional / Lower-Engagement Customers
C00236,8,380.045,3040.36,3,0,1.6,4.0,0,Occasional / Lower-Engagement Customers
C00237,11,547.8572727272727,6026.43,3,1,1.8333333333333333,3.2857142857142856,0,Occasional / Lower-Engagement Customers
C00238,13,467.7138461538461,6080.28,6,2,2.1666666666666665,3.875,1,Highly Engaged / High-Value Customers
C00239,9,470.2411111111112,4232.17,3,1,2.25,4.285714285714286,0,Occasional / Lower-Engagement Customers
C00240,14,519.7664285714285,7276.73,5,2,2.333333333333333,3.4545454545454546,1,Highly Engaged / High-Value Customers
C00241,10,509.936,5099.36,4,1,1.6666666666666667,4.25,0,Occasional / Lower-Engagement Customers
C00242,11,483.0718181818182,5313.79,5,2,2.2,3.5,1,Highly Engaged / High-Value Customers
C00243,11,660.0263636363636,7260.29,4,1,2.75,4.0,1,Highly Engaged / High-Value Customers
C00244,11,598.54,6583.94,3,0,1.8333333333333333,2.888888888888889,0,Occasional / Lower-Engagement Customers
C00245,10,491.54,4915.4,4,4,2.5,4.6,1,Highly Engaged / High-Value Customers
C00246,10,419.021,4190.21,4,1,2.5,4.0,0,Occasional / Lower-Engagement Customers
C00247,18,453.3083333333333,8159.55,4,5,3.0,3.857142857142857,1,Highly Engaged / High-Value Customers
C00248,13,472.1653846153846,6138.15,4,3,2.1666666666666665,4.111111111111111,1,Highly Engaged / High-Value Customers
C00249,7,714.5742857142858,5002.02,4,0,2.333333333333333,3.8,0,Occasional / Lower-Engagement Customers
C00250,9,585.7966666666666,5272.17,5,1,1.8,4.0,0,Occasional / Lower-Engagement Customers
C00251,7,639.8328571428572,4478.83,3,1,1.4,4.666666666666667,0,Occasional / Lower-Engagement Customers
C00252,6,691.2933333333334,4147.76,1,2,1.5,4.0,0,Occasional / Lower-Engagement Customers
C00253,8,493.1475,3945.18,4,3,2.0,4.333333333333333,0,Occasional / Lower-Engagement Customers
C00254,4,844.6850000000001,3378.74,2,1,1.3333333333333333,2.0,0,Occasional / Lower-Engagement Customers
C00255,8,513.5325,4108.26,4,1,1.6,4.714285714285714,0,Occasional / Lower-Engagement Customers
C00256,10,554.462,5544.62,1,3,2.0,4.0,0,Occasional / Lower-Engagement Customers
C00257,12,464.5266666666666,5574.32,4,2,2.4,4.5,1,Highly Engaged / High-Value Customers
C00258,10,495.312,4953.12,2,1,1.6666666666666667,4.0,0,Occasional / Lower-Engagement Customers
C00259,15,727.3046666666667,10909.57,6,3,2.5,3.636363636363636,1,Highly Engaged / High-Value Customers
C00260,14,718.3914285714285,10057.48,5,0,2.8,3.6,1,Highly Engaged / High-Value Customers
C00261,10,545.856,5458.56,6,2,3.333333333333333,4.0,1,Highly Engaged / High-Value Customers
C00262,10,689.049,6890.49,3,1,2.0,4.166666666666667,1,Highly Engaged / High-Value Customers
C00263,7,394.57428571428574,2762.02,6,0,2.333333333333333,4.0,0,Occasional / Lower-Engagement Customers
C00264,12,561.5108333333334,6738.13,5,4,3.0,3.7,1,Highly Engaged / High-Value Customers
C00265,9,701.8711111111111,6316.84,8,1,1.8,3.6666666666666665,1,Highly Engaged / High-Value Customers
C00266,12,603.24,7238.88,6,3,2.0,3.75,1,Highly Engaged / High-Value Customers
C00267,13,424.63461538461536,5520.25,3,3,2.6,3.5,1,Highly Engaged / High-Value Customers
C00268,8,372.365,2978.92,2,5,2.0,3.0,0,Occasional / Lower-Engagement Customers
C00269,12,561.8133333333334,6741.76,4,2,2.0,4.0,1,Highly Engaged / High-Value Customers
C00270,10,539.691,5396.91,6,2,2.0,4.666666666666667,1,Highly Engaged / High-Value Customers
C00271,11,545.9563636363637,6005.52,6,2,2.2,3.9,1,Highly Engaged / High-Value Customers
C00272,6,572.4499999999999,3434.7,2,1,1.5,4.0,0,Occasional / Lower-Engagement Customers
